CDRDATE,SERVICE_KEY,IS_ROAMING,ISBFT,DIAMETER,TOTAL,REMARK
2023-11-06 09,150,0,0,,7,day0
2023-11-06 09,200,0,0,2001,1834,day0
2023-11-06 09,200,0,0,4010,1,day0
2023-11-06 09,200,0,0,4012,3,day0
2023-11-06 09,200,0,0,5031,7,day0
2023-11-06 09,300,1,0,2001,203,day0
2023-11-06 09,300,1,0,4010,1,day0
2023-11-06 09,300,1,0,4012,11655,day0
2023-11-06 09,300,0,0,5004,18517,day0
2023-11-06 09,300,1,0,5031,67,day0
2023-11-06 09,400,0,0,5004,4,day0
2023-11-06 10,100,0,0,2001,120496,day0
2023-11-06 10,100,1,0,2001,15,day0
2023-11-06 10,100,0,0,4010,1250,day0
2023-11-06 10,100,1,0,4010,3,day0
2023-11-06 10,100,0,0,4012,50876,day0
2023-11-06 10,100,1,0,4012,38,day0
2023-11-06 10,100,0,1,5005,2,day0
2023-11-06 10,100,0,0,5030,2,day0
2023-11-06 10,100,0,0,5031,5375,day0
2023-11-06 10,100,1,0,5031,13,day0
2023-11-06 10,100,0,0,,2921,day0
2023-11-06 10,100,1,0,,1,day0
2023-11-06 10,133,0,0,,210,day0
2023-11-06 10,150,0,0,2001,5,day0
2023-11-06 10,150,0,0,4010,9,day0
2023-11-06 10,150,0,0,5030,106,day0
2023-11-06 10,150,0,0,5031,2,day0
2023-11-06 10,150,0,0,,7,day0
2023-11-06 10,200,0,0,2001,1873,day0
2023-11-06 10,200,0,0,4010,1,day0
2023-11-06 10,200,0,0,4012,8,day0
2023-11-06 10,200,0,0,5031,12,day0
2023-11-06 10,300,1,0,2001,245,day0
2023-11-06 10,300,1,0,4012,8952,day0
2023-11-06 10,300,0,0,5004,12786,day0
2023-11-06 10,300,1,0,5031,62,day0
2023-11-06 10,400,1,0,2001,7,day0
2023-11-06 10,400,1,0,4012,1,day0
2023-11-06 10,400,0,0,5004,5,day0
2023-11-06 11,100,0,0,2001,117233,day0
2023-11-06 11,100,1,0,2001,10,day0
2023-11-06 11,100,0,0,4010,1183,day0
2023-11-06 11,100,1,0,4010,3,day0
2023-11-06 11,100,0,0,4012,52163,day0
2023-11-06 11,100,1,0,4012,50,day0
2023-11-06 11,100,0,1,5005,3,day0
2023-11-06 11,100,0,0,5031,4187,day0
2023-11-06 11,100,1,0,5031,18,day0
2023-11-06 11,100,0,0,,3098,day0
2023-11-06 11,133,0,0,,175,day0
2023-11-06 11,150,0,0,4010,19,day0
2023-11-06 11,150,0,0,5030,91,day0
2023-11-06 11,150,0,0,5031,1,day0
2023-11-06 11,150,0,0,,11,day0
2023-11-06 11,150,1,0,,1,day0
2023-11-06 11,200,0,0,2001,1831,day0
2023-11-06 11,200,0,0,4010,1,day0
2023-11-06 11,200,0,0,4012,3,day0
2023-11-06 11,200,0,0,5031,24,day0
2023-11-06 11,200,0,0,,2,day0
2023-11-06 11,300,1,0,2001,318,day0
2023-11-06 11,300,1,0,4012,14318,day0
2023-11-06 11,300,0,0,5004,18538,day0
2023-11-06 11,300,1,0,5031,94,day0
2023-11-06 11,400,1,0,2001,4,day0
2023-11-06 11,400,0,0,5004,1,day0
2023-11-06 12,100,0,0,2001,120357,day0
2023-11-06 12,100,1,0,2001,5,day0
2023-11-06 12,100,0,0,4010,1336,day0
2023-11-06 12,100,1,0,4010,2,day0
2023-11-06 12,100,0,0,4012,54791,day0
2023-11-06 12,100,1,0,4012,43,day0
2023-11-06 12,100,0,0,5030,1,day0
2023-11-06 12,100,0,0,5031,3702,day0
