CDRDATE,CP_NAME,CPID,ACCESSFLAG,BASICCAUSE,INTERNALCAUSE,REVENUE,TOTAL,REMARK
2023-11-06 01,Global Media Solusi,153,73,111,4012,0,256,day0
2023-11-06 01,Global Media Solusi,153,73,23,,770998,389,day0
2023-11-06 01,Global Media Solusi,153,73,6,,3964,2,day0
2023-11-06 01,Global Media Solusi,153,73,940,5031,0,1,day0
2023-11-06 01,Global Media Solusi,153,73,941,2001,5946,4,day0
2023-11-06 01,GENFLIX,154,66,938,2001,0,19,day0
2023-11-06 01,GENFLIX,154,73,941,2001,0,16,day0
2023-11-06 01,Emobile,156,66,601,503,0,1,day0
2023-11-06 01,Emobile,156,66,601,,0,2,day0
2023-11-06 01,Emobile,156,66,938,2001,5950,13,day0
2023-11-06 01,Emobile,156,66,940,4012,0,5,day0
2023-11-06 01,Emobile,156,67,111,4012,0,40,day0
2023-11-06 01,Emobile,156,67,940,5030,0,1,day0
2023-11-06 01,Emobile,156,67,941,2001,24200,39,day0
2023-11-06 01,Integrasi Tunas Muda,163,73,941,2001,0,1,day0
2023-11-06 01,Era Digital Media,164,66,938,2001,0,3,day0
2023-11-06 01,Era Digital Media,164,73,941,2001,0,11,day0
2023-11-06 01,Yatta Eracipta Solusi,166,66,938,2001,0,2,day0
2023-11-06 01,Yatta Eracipta Solusi,166,73,111,4012,0,16056,day0
2023-11-06 01,Yatta Eracipta Solusi,166,73,6,,140722,71,day0
2023-11-06 01,Yatta Eracipta Solusi,166,73,940,5031,0,70,day0
2023-11-06 01,Yatta Eracipta Solusi,166,73,941,2001,818566,421,day0
2023-11-06 01,Yatta Eracipta Solusi,166,73,973,,47568,24,day0
2023-11-06 01,Forest Indo Niaga,171,66,938,2001,0,3,day0
2023-11-06 01,Forest Indo Niaga,171,73,111,4012,0,5033,day0
2023-11-06 01,Forest Indo Niaga,171,73,940,5031,0,7,day0
2023-11-06 01,Forest Indo Niaga,171,73,941,2001,1982,5,day0
2023-11-06 01,Forest Indo Niaga,171,73,973,,109010,55,day0
2023-11-06 01,Forest Indo Niaga,171,73,991,,16000,8,day0
2023-11-06 01,Sinergi Bestama Indonesia,187,73,941,2001,0,6,day0
2023-11-06 01,Digital HUB Accenture,191,66,938,2001,0,24,day0
2023-11-06 01,Digital HUB Accenture,191,67,941,2001,0,34,day0
2023-11-06 01,PT Festival Digital Nusantara,193,66,938,2001,0,4,day0
2023-11-06 01,PT Festival Digital Nusantara,193,73,941,2001,0,2,day0
2023-11-06 01,VIU,198,67,941,2001,0,66,day0
2023-11-06 01,Galatic Multimedia_oomph,201,73,941,2001,0,22,day0
2023-11-06 01,LinkIT_360,206,66,938,2001,0,4,day0
2023-11-06 01,LinkIT_360,206,72,9,,0,2,day0
2023-11-06 01,LinkIT_360,206,73,111,4012,0,41208,day0
2023-11-06 01,LinkIT_360,206,73,23,,330994,167,day0
2023-11-06 01,LinkIT_360,206,73,6,,29730,15,day0
2023-11-06 01,LinkIT_360,206,73,940,5031,0,83,day0
2023-11-06 01,LinkIT_360,206,73,941,2001,1785782,907,day0
2023-11-06 01,LinkIT_360,206,73,973,,1058388,534,day0
2023-11-06 01,PT Metrane,210,66,601,,0,1,day0
2023-11-06 01,PT Metrane,210,67,941,2001,0,40,day0
2023-11-06 01,PT Metrane,210,68,949,2001,1171,1,day0
2023-11-06 01,Akses Cipta Solusi,235,66,938,2001,450,1,day0
2023-11-06 01,Akses Cipta Solusi,235,67,941,2001,600,1,day0
2023-11-06 01,Redision,237,66,938,2001,0,8,day0
2023-11-06 01,Redision,237,67,941,2001,24775,11,day0
2023-11-06 01,GMS AG (bulk),239,66,938,2001,0,2236,day0
2023-11-06 01,GMS AG (bulk),239,66,940,5030,0,43,day0
2023-11-06 01,GMS AG (bulk),239,66,940,5031,0,110,day0
2023-11-06 01,Monty Mobile (bulk),240,66,938,2001,0,94,day0
2023-11-06 01,BPJS,242,67,111,4012,0,39,day0
2023-11-06 01,BPJS,242,67,41,,347,1,day0
2023-11-06 01,BPJS,242,67,940,5030,0,8,day0
2023-11-06 01,BPJS,242,67,941,2001,10410,30,day0
2023-11-06 01,PT. Gloria Viva Nusantara,250,66,601,,0,8,day0
