CDRDATE,SERVICE_KEY,IS_ROAMING,DIAMETER,TOTAL,REMARK
25-10-2023 08,200,0,4012.0,4,day0
25-10-2023 08,200,0,5031.0,7,day0
25-10-2023 08,200,0,5031.0,3,day0
25-10-2023 08,300,1,2001.0,68,day0
25-10-2023 08,300,1,2001.0,122,day0
25-10-2023 08,300,1,4012.0,1670,day0
25-10-2023 08,300,1,4012.0,1187,day0
25-10-2023 08,300,0,5004.0,1673,day0
25-10-2023 08,300,0,5004.0,2047,day0
25-10-2023 08,300,1,5031.0,4,day0
25-10-2023 08,300,1,5031.0,6,day0
25-10-2023 08,400,1,2001.0,1,day0
25-10-2023 08,400,1,4012.0,3,day0
25-10-2023 08,400,1,4012.0,2,day0
25-10-2023 08,400,0,5004.0,3,day0
25-10-2023 09,100,0,2001.0,27149,day0
25-10-2023 09,100,1,2001.0,7,day0
25-10-2023 09,100,0,2001.0,79300,day0
25-10-2023 09,100,1,2001.0,5,day0
25-10-2023 09,100,0,4010.0,353,day0
25-10-2023 09,100,0,4010.0,119,day0
25-10-2023 09,100,1,4012.0,22,day0
25-10-2023 09,100,0,4012.0,35492,day0
25-10-2023 09,100,1,4012.0,18,day0
25-10-2023 09,100,0,4012.0,12352,day0
25-10-2023 09,100,1,5031.0,4,day0
25-10-2023 09,100,1,5031.0,8,day0
25-10-2023 09,100,0,5031.0,2346,day0
25-10-2023 09,100,0,5031.0,789,day0
25-10-2023 09,100,1,,1,day0
25-10-2023 09,100,0,,2164,day0
25-10-2023 09,100,0,,733,day0
25-10-2023 09,133,0,,227,day0
25-10-2023 09,150,0,4010.0,14,day0
25-10-2023 09,150,0,4010.0,3,day0
25-10-2023 09,150,0,5030.0,61,day0
25-10-2023 09,150,0,5030.0,19,day0
25-10-2023 09,150,0,5031.0,1,day0
25-10-2023 09,150,0,,5,day0
25-10-2023 09,150,0,,1,day0
25-10-2023 09,200,0,2001.0,574,day0
25-10-2023 09,200,0,2001.0,1618,day0
25-10-2023 09,200,0,4012.0,2,day0
25-10-2023 09,200,0,5031.0,7,day0
25-10-2023 09,200,0,5031.0,6,day0
25-10-2023 09,200,0,,1,day0
25-10-2023 09,300,1,2001.0,122,day0
25-10-2023 09,300,1,2001.0,75,day0
25-10-2023 09,300,1,4012.0,1146,day0
25-10-2023 09,300,1,4012.0,1758,day0
25-10-2023 09,300,0,5004.0,2006,day0
25-10-2023 09,300,0,5004.0,1449,day0
25-10-2023 09,300,1,5031.0,11,day0
25-10-2023 09,300,1,5031.0,13,day0
25-10-2023 09,400,1,4012.0,1,day0
25-10-2023 09,400,1,4012.0,1,day0
25-10-2023 09,400,0,5004.0,1,day0
25-10-2023 10,100,0,2001.0,84848,day0
25-10-2023 10,100,1,2001.0,3,day0
25-10-2023 10,100,0,2001.0,29348,day0
25-10-2023 10,100,1,2001.0,2,day0
25-10-2023 10,100,0,4010.0,377,day0
25-10-2023 10,100,1,4010.0,2,day0
25-10-2023 10,100,0,4010.0,104,day0
25-10-2023 10,100,0,4012.0,36831,day0
25-10-2023 10,100,1,4012.0,23,day0
25-10-2023 10,100,0,4012.0,12797,day0
25-10-2023 10,100,1,4012.0,21,day0
25-10-2023 10,100,1,5030.0,1,day0
25-10-2023 10,100,1,5030.0,1,day0
25-10-2023 10,100,0,5030.0,1,day0
25-10-2023 10,100,1,5031.0,12,day0
25-10-2023 10,100,0,5031.0,974,day0
25-10-2023 10,100,1,5031.0,12,day0
25-10-2023 10,100,0,5031.0,2790,day0
