CDRDATE,SERVICE_KEY,DIAMETER,TOTAL
21-10-2023 13:20,200,2001.0,2
21-10-2023 13:20,200,2001.0,11
21-10-2023 13:20,300,2001.0,3
21-10-2023 13:20,300,4012.0,11
21-10-2023 13:20,300,4012.0,5
21-10-2023 13:20,300,5004.0,26
21-10-2023 13:20,300,5004.0,21
21-10-2023 13:21,100,2001.0,477
21-10-2023 13:21,100,2001.0,1272
21-10-2023 13:21,100,4010.0,6
21-10-2023 13:21,100,4012.0,229
21-10-2023 13:21,100,4012.0,624
21-10-2023 13:21,100,5031.0,37
21-10-2023 13:21,100,5031.0,9
21-10-2023 13:21,100,,14
21-10-2023 13:21,100,,36
21-10-2023 13:21,133,,2
21-10-2023 13:21,150,5030.0,1
21-10-2023 13:21,150,5030.0,1
21-10-2023 13:21,200,2001.0,5
21-10-2023 13:21,200,2001.0,2
21-10-2023 13:21,300,4012.0,20
21-10-2023 13:21,300,4012.0,37
21-10-2023 13:21,300,5004.0,16
21-10-2023 13:21,300,5004.0,11
21-10-2023 13:22,100,2001.0,495
21-10-2023 13:22,100,2001.0,1301
21-10-2023 13:22,100,4010.0,3
21-10-2023 13:22,100,4010.0,1
21-10-2023 13:22,100,4012.0,199
21-10-2023 13:22,100,4012.0,628
21-10-2023 13:22,100,5031.0,15
21-10-2023 13:22,100,5031.0,33
21-10-2023 13:22,100,,36
21-10-2023 13:22,100,,20
21-10-2023 13:22,133,,6
21-10-2023 13:22,150,5030.0,1
21-10-2023 13:22,200,2001.0,13
21-10-2023 13:22,200,2001.0,3
21-10-2023 13:22,300,2001.0,2
21-10-2023 13:22,300,2001.0,1
21-10-2023 13:22,300,4012.0,11
21-10-2023 13:22,300,4012.0,19
21-10-2023 13:22,300,5004.0,17
21-10-2023 13:22,300,5004.0,8
21-10-2023 13:23,100,2001.0,1338
21-10-2023 13:23,100,2001.0,453
21-10-2023 13:23,100,4010.0,5
21-10-2023 13:23,100,4010.0,3
21-10-2023 13:23,100,4012.0,223
21-10-2023 13:23,100,4012.0,596
21-10-2023 13:23,100,5031.0,15
21-10-2023 13:23,100,5031.0,21
21-10-2023 13:23,100,,11
21-10-2023 13:23,100,,46
21-10-2023 13:23,133,,5
21-10-2023 13:23,150,5030.0,1
21-10-2023 13:23,150,5030.0,1
21-10-2023 13:23,200,2001.0,2
21-10-2023 13:23,200,2001.0,4
21-10-2023 13:23,200,4012.0,1
21-10-2023 13:23,300,2001.0,3
21-10-2023 13:23,300,4012.0,21
21-10-2023 13:23,300,4012.0,10
21-10-2023 13:23,300,5004.0,29
21-10-2023 13:23,300,5004.0,35
21-10-2023 13:24,100,2001.0,1340
21-10-2023 13:24,100,2001.0,476
21-10-2023 13:24,100,4010.0,7
21-10-2023 13:24,100,4010.0,5
21-10-2023 13:24,100,4012.0,589
21-10-2023 13:24,100,4012.0,213
21-10-2023 13:24,100,5031.0,32
21-10-2023 13:24,100,5031.0,18
21-10-2023 13:24,100,,43
21-10-2023 13:24,100,,16
21-10-2023 13:24,133,,5
21-10-2023 13:24,150,5030.0,6
21-10-2023 13:24,150,5030.0,1
21-10-2023 13:24,200,2001.0,4
21-10-2023 13:24,200,2001.0,6
21-10-2023 13:24,300,2001.0,1
21-10-2023 13:24,300,4012.0,6
21-10-2023 13:24,300,4012.0,9
21-10-2023 13:24,300,5004.0,30
21-10-2023 13:24,300,5004.0,27
21-10-2023 13:29,100,2001.0,461
21-10-2023 13:29,100,2001.0,1296
21-10-2023 13:29,100,4010.0,3
21-10-2023 13:29,100,4010.0,6
21-10-2023 13:29,100,4012.0,201
21-10-2023 13:29,100,4012.0,594
21-10-2023 13:29,100,5031.0,39
21-10-2023 13:29,100,5031.0,11
21-10-2023 13:29,100,,44
21-10-2023 13:29,100,,14
21-10-2023 13:29,133,,7
21-10-2023 13:29,150,4010.0,1
21-10-2023 13:29,150,5030.0,3
21-10-2023 13:29,200,2001.0,5
21-10-2023 13:29,200,2001.0,8
21-10-2023 13:29,300,2001.0,1
21-10-2023 13:29,300,2001.0,2
21-10-2023 13:29,300,4012.0,12
21-10-2023 13:29,300,4012.0,16
21-10-2023 13:29,300,5004.0,6
21-10-2023 13:29,300,5004.0,2
21-10-2023 13:30,100,2001.0,1305
21-10-2023 13:30,100,2001.0,433
21-10-2023 13:30,100,4010.0,5
21-10-2023 13:30,100,4010.0,5
21-10-2023 13:30,100,4012.0,651
21-10-2023 13:30,100,4012.0,227
21-10-2023 13:30,100,5031.0,12
21-10-2023 13:30,100,5031.0,29
21-10-2023 13:30,100,,12
21-10-2023 13:30,100,,44
21-10-2023 13:30,133,,2
21-10-2023 13:30,150,5030.0,2
21-10-2023 13:30,200,2001.0,5
21-10-2023 13:30,200,2001.0,1
21-10-2023 13:30,300,2001.0,1
21-10-2023 13:30,300,4012.0,33
21-10-2023 13:30,300,4012.0,22
21-10-2023 13:30,300,5004.0,4
21-10-2023 13:30,300,5004.0,4
21-10-2023 13:31,100,2001.0,461
21-10-2023 13:31,100,2001.0,1310
