CDR_DATE,CDR_HOUR,BASICCAUSE,INTERNALCAUSE,ACCESSFLAG,TOTAL,REMARK
20-12-2023,23:23,9,,72,17,day1
20-12-2023,23:23,938,2001,66,142,day1
20-12-2023,23:23,940,4010,73,21,day1
20-12-2023,23:23,940,4012,66,15,day1
20-12-2023,23:23,940,5030,67,25,day1
20-12-2023,23:23,940,5031,67,1,day1
20-12-2023,23:23,940,5031,73,40,day1
20-12-2023,23:23,941,2001,67,408,day1
20-12-2023,23:23,941,2001,73,144,day1
20-12-2023,23:23,949,2001,68,14,day1
20-12-2023,23:23,968,,72,1,day1
20-12-2023,23:23,973,,73,8,day1
20-12-2023,23:23,987,2001,72,10,day1
20-12-2023,23:23,991,,73,1141,day1
20-12-2023,23:24,111,4012,67,48,day1
20-12-2023,23:24,111,4012,68,145,day1
20-12-2023,23:24,111,4012,73,5520,day1
20-12-2023,23:24,23,,73,162,day1
20-12-2023,23:24,372,2001,72,22,day1
20-12-2023,23:24,41,,67,1,day1
20-12-2023,23:24,6,,73,18,day1
20-12-2023,23:24,715,,67,2,day1
20-12-2023,23:24,9,,72,15,day1
20-12-2023,23:24,938,2001,66,120,day1
20-12-2023,23:24,940,4012,66,18,day1
20-12-2023,23:24,940,5030,67,28,day1
20-12-2023,23:24,940,5031,66,2,day1
20-12-2023,23:24,940,5031,73,2,day1
20-12-2023,23:24,941,2001,67,418,day1
20-12-2023,23:24,941,2001,73,230,day1
20-12-2023,23:24,949,2001,68,19,day1
20-12-2023,23:24,973,,73,4,day1
20-12-2023,23:24,987,2001,72,22,day1
20-12-2023,23:24,991,,73,795,day1
20-12-2023,23:25,111,4012,67,72,day1
20-12-2023,23:25,111,4012,68,147,day1
20-12-2023,23:25,111,4012,73,5449,day1
20-12-2023,23:25,123,2001,72,2,day1
20-12-2023,23:25,23,,73,181,day1
20-12-2023,23:25,372,2001,72,15,day1
20-12-2023,23:25,6,,73,9,day1
20-12-2023,23:25,715,,67,1,day1
20-12-2023,23:25,9,,72,15,day1
20-12-2023,23:25,938,2001,66,138,day1
20-12-2023,23:25,940,4012,66,14,day1
20-12-2023,23:25,940,5030,66,1,day1
20-12-2023,23:25,940,5030,67,24,day1
20-12-2023,23:25,940,5031,66,2,day1
20-12-2023,23:25,941,2001,67,417,day1
20-12-2023,23:25,941,2001,73,145,day1
20-12-2023,23:25,948,5031,68,1,day1
20-12-2023,23:25,949,2001,68,19,day1
