CDR_DATE,CP_NAME,ACCESSFLAG,TOTAL,SUCCESS,REMARK
11-01-2024,Artajasa,67,53,53,day1
11-01-2024,BPJS,67,7306,7258,day1
11-01-2024,Celltick_Project,67,12,0,day1
11-01-2024,Codapay,67,3172,3066,day1
11-01-2024,Digital HUB Accenture,67,365,365,day1
11-01-2024,Emobile,67,2969,2955,day1
11-01-2024,Falcon,67,12,12,day1
11-01-2024,Fortumo,67,637,580,day1
11-01-2024,Infinetworks CIMB Niaga,67,987,983,day1
11-01-2024,Jatis Mobile,67,487,487,day1
11-01-2024,LinkIT_360,67,5,0,day1
11-01-2024,MitraComm Ekasarana,67,32730,32710,day1
11-01-2024,NetM_GooglePlay,67,3301,3301,day1
11-01-2024,Opera,67,12,1,day1
11-01-2024,PCCW Vuclip VIU,67,4,4,day1
11-01-2024,PT Festival Digital Nusantara,67,103,103,day1
11-01-2024,PT Metrane,67,725,725,day1
11-01-2024,PT Milenial Nusantara Citra,67,173,0,day1
11-01-2024,Redision,67,68,68,day1
11-01-2024,SPRINT_Strata Prima Internusa,67,13654,13654,day1
11-01-2024,Triple One Global,67,1,0,day1
11-01-2024,Triyakom,67,237979,237408,day1
11-01-2024,Utopia,67,12141,16,day1
11-01-2024,VIU,67,4232,4232,day1
11-01-2024,,67,32,0,day1
11-01-2024,Codapay,68,1360,1360,day1
11-01-2024,Fortumo,68,435,435,day1
11-01-2024,Line,68,314,314,day1
11-01-2024,NetM_GooglePlay,68,87333,87330,day1
11-01-2024,PT Metrane,68,55,55,day1
11-01-2024,Triyakom,68,1131,1131,day1
11-01-2024,18 Box Media,72,2770,1988,day1
11-01-2024,8Elements,72,125,117,day1
11-01-2024,Celltick_Project,72,1154,1039,day1
11-01-2024,Era Digital Media,72,4382,2866,day1
11-01-2024,Falcon,72,15435,12620,day1
11-01-2024,GENFLIX,72,4,4,day1
11-01-2024,Global Media Solusi,72,2,2,day1
11-01-2024,Hypermind,72,2,2,day1
11-01-2024,KEE_Digital,72,2484,2097,day1
11-01-2024,LinkIT_360,72,3269,2302,day1
11-01-2024,Macrokiosk,72,4,4,day1
11-01-2024,Opera,72,20,18,day1
11-01-2024,PT. Gloria Viva Nusantara,72,4,4,day1
11-01-2024,Telesat_System_Integrator,72,28,28,day1
11-01-2024,Triyakom,72,2003,1627,day1
11-01-2024,Utopia,72,356,316,day1
11-01-2024,18 Box Media,73,394222,381343,day1
11-01-2024,8Elements,73,25133,19129,day1
11-01-2024,Artha_Ghani_Sempurna,73,635831,620394,day1
11-01-2024,CP Nine Live,73,988,972,day1
11-01-2024,Celltick_Project,73,1122577,1113202,day1
11-01-2024,Era Digital Media,73,1193348,1173414,day1
11-01-2024,Falcon,73,1230635,1224707,day1
11-01-2024,Forest Indo Niaga,73,41705,40598,day1
11-01-2024,GENFLIX,73,178781,176501,day1
11-01-2024,Galatic Multimedia_oomph,73,3414,924,day1
11-01-2024,Global Media Solusi,73,5394,1360,day1
11-01-2024,Hypermind,73,29309,28981,day1
11-01-2024,Integrasi Tunas Muda,73,79052,78384,day1
