CDRDATE,SERVICE_KEY,IS_ROAMING,DIAMETER,TOTAL
2023-11-05 00:25,300.0,1.0,2001.0,1.0
2023-11-05 00:26,100.0,0.0,2001.0,626.0
2023-11-05 00:26,100.0,0.0,4010.0,10.0
2023-11-05 00:26,100.0,0.0,4012.0,333.0
2023-11-05 00:26,100.0,0.0,5031.0,34.0
2023-11-05 00:26,100.0,0.0,,18.0
2023-11-05 00:26,133.0,0.0,,1.0
2023-11-05 00:27,100.0,0.0,2001.0,666.0
2023-11-05 00:27,100.0,0.0,4010.0,13.0
2023-11-05 00:27,100.0,0.0,4012.0,334.0
2023-11-05 00:27,100.0,0.0,5031.0,34.0
2023-11-05 00:27,100.0,0.0,,20.0
2023-11-05 00:27,133.0,0.0,,1.0
2023-11-05 00:27,300.0,1.0,4012.0,9.0
2023-11-05 00:28,100.0,0.0,2001.0,609.0
2023-11-05 00:28,100.0,0.0,4010.0,15.0
2023-11-05 00:28,100.0,0.0,4012.0,340.0
2023-11-05 00:28,100.0,0.0,5031.0,43.0
2023-11-05 00:28,100.0,0.0,,19.0
2023-11-05 00:29,100.0,0.0,2001.0,351.0
2023-11-05 00:29,100.0,0.0,4010.0,12.0
2023-11-05 00:29,100.0,0.0,4012.0,182.0
2023-11-05 00:29,100.0,0.0,5031.0,17.0
2023-11-05 00:29,100.0,0.0,,16.0
2023-11-05 00:29,133.0,0.0,,1.0
2023-11-05 00:29,300.0,1.0,4012.0,2.0
2023-11-05 00:30,100.0,0.0,2001.0,589.0
2023-11-05 00:30,100.0,0.0,4010.0,9.0
2023-11-05 00:30,100.0,0.0,4012.0,310.0
2023-11-05 00:30,100.0,1.0,4012.0,2.0
2023-11-05 00:30,100.0,0.0,5031.0,32.0
2023-11-05 00:30,100.0,0.0,,20.0
2023-11-05 00:30,133.0,0.0,,1.0
2023-11-05 00:30,200.0,0.0,2001.0,1.0
2023-11-05 00:30,300.0,1.0,2001.0,1.0
2023-11-05 00:31,100.0,0.0,2001.0,590.0
2023-11-05 00:31,100.0,0.0,4010.0,11.0
2023-11-05 00:31,100.0,0.0,4012.0,301.0
2023-11-05 00:31,100.0,1.0,4012.0,1.0
2023-11-05 00:31,100.0,0.0,5031.0,38.0
2023-11-05 00:31,100.0,0.0,,15.0
2023-11-05 00:31,133.0,0.0,,1.0
2023-11-05 00:31,200.0,0.0,2001.0,1.0
2023-11-05 00:31,300.0,1.0,4012.0,2.0
2023-11-05 00:32,100.0,0.0,2001.0,586.0
2023-11-05 00:32,100.0,0.0,4010.0,12.0
2023-11-05 00:32,100.0,0.0,4012.0,336.0
2023-11-05 00:32,100.0,0.0,5031.0,42.0
2023-11-05 00:32,100.0,0.0,,16.0
2023-11-05 00:32,133.0,0.0,,2.0
2023-11-05 00:32,200.0,0.0,2001.0,2.0
2023-11-05 00:33,100.0,0.0,2001.0,567.0
2023-11-05 00:33,100.0,0.0,4010.0,11.0
2023-11-05 00:33,100.0,0.0,4012.0,295.0
2023-11-05 00:33,100.0,0.0,5031.0,35.0
2023-11-05 00:33,100.0,0.0,,14.0
2023-11-05 00:33,133.0,0.0,,3.0
2023-11-05 00:33,200.0,0.0,2001.0,1.0
2023-11-05 00:33,300.0,1.0,2001.0,1.0
2023-11-05 00:34,100.0,0.0,2001.0,315.0
2023-11-05 00:34,100.0,0.0,4010.0,3.0
2023-11-05 00:34,100.0,0.0,4012.0,194.0
2023-11-05 00:34,100.0,0.0,5031.0,17.0
2023-11-05 00:34,100.0,0.0,,9.0
2023-11-05 00:34,200.0,0.0,2001.0,2.0
2023-11-05 00:35,100.0,0.0,2001.0,593.0
2023-11-05 00:35,100.0,0.0,4010.0,12.0
2023-11-05 00:35,100.0,0.0,4012.0,341.0
2023-11-05 00:35,100.0,0.0,5031.0,23.0
2023-11-05 00:35,100.0,0.0,,14.0
2023-11-05 00:35,133.0,0.0,,2.0
2023-11-05 00:35,200.0,0.0,2001.0,1.0
2023-11-05 00:35,300.0,1.0,4012.0,1.0
