CDR_DATE,CDR_HOUR,CONTENTPROVIDERID,CP_NAME,BASICCAUSE,INTERNALCAUSE,ACCESSFLAG,TOTAL,REMARK
11-02-2024,01,206,LinkIT_360,715,,67,1,day0
11-02-2024,01,206,LinkIT_360,9,,72,1,day0
11-02-2024,01,206,LinkIT_360,938,2001,66,1,day0
11-02-2024,01,206,LinkIT_360,940,5031,73,17,day0
11-02-2024,01,206,LinkIT_360,941,2001,73,446,day0
11-02-2024,01,206,LinkIT_360,973,,73,4,day0
11-02-2024,01,210,PT Metrane,111,4012,68,274,day0
11-02-2024,01,210,PT Metrane,601,,66,38,day0
11-02-2024,01,210,PT Metrane,938,2001,66,504,day0
11-02-2024,01,210,PT Metrane,940,5030,67,1,day0
11-02-2024,01,210,PT Metrane,941,2001,67,577,day0
11-02-2024,01,210,PT Metrane,949,2001,68,263,day0
11-02-2024,01,237,Redision,938,2001,66,3,day0
11-02-2024,01,237,Redision,941,2001,67,4,day0
11-02-2024,01,239,GMS AG (bulk),938,2001,66,2314,day0
11-02-2024,01,239,GMS AG (bulk),940,5030,66,35,day0
11-02-2024,01,239,GMS AG (bulk),940,5031,66,65,day0
11-02-2024,01,240,Monty Mobile (bulk),938,2001,66,98,day0
11-02-2024,01,242,BPJS,111,4012,67,25,day0
11-02-2024,01,242,BPJS,940,5030,67,5,day0
11-02-2024,01,242,BPJS,941,2001,67,27,day0
11-02-2024,01,250,PT. Gloria Viva Nusantara,111,4012,73,226,day0
11-02-2024,01,250,PT. Gloria Viva Nusantara,23,,73,76817,day0
11-02-2024,01,250,PT. Gloria Viva Nusantara,6,,73,16,day0
11-02-2024,01,250,PT. Gloria Viva Nusantara,940,5031,73,3,day0
11-02-2024,01,250,PT. Gloria Viva Nusantara,941,2001,73,38,day0
11-02-2024,01,252,SahabatMudaKreatif,111,4012,73,57440,day0
11-02-2024,01,252,SahabatMudaKreatif,23,,73,200,day0
11-02-2024,01,252,SahabatMudaKreatif,372,2001,72,3,day0
11-02-2024,01,252,SahabatMudaKreatif,6,,73,1483,day0
11-02-2024,01,252,SahabatMudaKreatif,938,2001,66,5,day0
11-02-2024,01,252,SahabatMudaKreatif,940,4010,73,40,day0
11-02-2024,01,252,SahabatMudaKreatif,940,5031,73,155,day0
11-02-2024,01,252,SahabatMudaKreatif,941,2001,73,2070,day0
11-02-2024,01,252,SahabatMudaKreatif,973,,73,700,day0
11-02-2024,01,252,SahabatMudaKreatif,987,2001,72,3,day0
11-02-2024,01,254,8Elements,372,2001,72,1,day0
11-02-2024,01,254,8Elements,9,,72,1,day0
11-02-2024,01,254,8Elements,938,2001,66,2,day0
11-02-2024,01,254,8Elements,941,2001,73,11,day0
11-02-2024,01,254,8Elements,987,2001,72,1,day0
11-02-2024,01,258,Hypermind,938,2001,66,1,day0
11-02-2024,01,263,Artha_Ghani_Sempurna,941,2001,73,2,day0
11-02-2024,01,2836,Terminal Kreasi Nusantara,111,4012,73,144,day0
11-02-2024,01,2836,Terminal Kreasi Nusantara,23,,73,2531,day0
11-02-2024,01,2836,Terminal Kreasi Nusantara,6,,73,1,day0
11-02-2024,01,2895,KEE_Digital,111,4012,73,85,day0
11-02-2024,01,2895,KEE_Digital,372,2001,72,89,day0
11-02-2024,01,2895,KEE_Digital,6,,73,1,day0
11-02-2024,01,2895,KEE_Digital,9,,72,49,day0
11-02-2024,01,2895,KEE_Digital,940,5031,72,1,day0
11-02-2024,01,2895,KEE_Digital,941,2001,73,229,day0
11-02-2024,01,2895,KEE_Digital,987,2001,72,89,day0
11-02-2024,01,2915,18 Box Media,111,4012,73,22388,day0
11-02-2024,01,2915,18 Box Media,23,,73,617,day0
11-02-2024,01,2915,18 Box Media,372,2001,72,5,day0
11-02-2024,01,2915,18 Box Media,6,,73,5,day0
11-02-2024,01,2915,18 Box Media,601,,72,3,day0
11-02-2024,01,2915,18 Box Media,9,,72,1,day0
11-02-2024,01,2915,18 Box Media,940,5031,73,114,day0
11-02-2024,01,2915,18 Box Media,941,2001,73,260,day0
11-02-2024,01,2915,18 Box Media,973,,73,232,day0
11-02-2024,01,2915,18 Box Media,987,2001,72,2,day0
11-02-2024,01,42,Access Mobile,938,2001,66,58,day0
11-02-2024,01,42,Access Mobile,940,4010,67,1,day0
11-02-2024,01,42,Access Mobile,941,2001,67,120,day0
11-02-2024,01,50,Triyakom,111,4012,67,1,day0
11-02-2024,01,50,Triyakom,111,4012,68,5,day0
11-02-2024,01,50,Triyakom,111,4012,73,803,day0
11-02-2024,01,50,Triyakom,123,2001,72,28,day0
11-02-2024,01,50,Triyakom,372,2001,72,56,day0
11-02-2024,01,50,Triyakom,372,,72,2,day0
11-02-2024,01,50,Triyakom,6,,73,4,day0
11-02-2024,01,50,Triyakom,9,,72,36,day0
11-02-2024,01,50,Triyakom,938,2001,66,167,day0
11-02-2024,01,50,Triyakom,940,5030,67,3,day0
11-02-2024,01,50,Triyakom,940,5031,72,1,day0
11-02-2024,01,50,Triyakom,940,5031,73,1,day0
11-02-2024,01,50,Triyakom,941,2001,67,404,day0
11-02-2024,01,50,Triyakom,941,2001,73,96,day0
11-02-2024,01,50,Triyakom,949,2001,68,118,day0
11-02-2024,01,50,Triyakom,968,,72,1,day0
11-02-2024,01,50,Triyakom,973,,73,4,day0
11-02-2024,01,50,Triyakom,987,2001,72,58,day0
11-02-2024,01,51,Utopia,111,4012,73,147503,day0
11-02-2024,01,51,Utopia,123,2001,72,10,day0
11-02-2024,01,51,Utopia,23,,73,6564,day0
11-02-2024,01,51,Utopia,372,2001,72,21,day0
11-02-2024,01,51,Utopia,372,,72,2,day0
11-02-2024,01,51,Utopia,6,,73,376,day0
11-02-2024,01,51,Utopia,9,,72,1,day0
11-02-2024,01,51,Utopia,940,4010,73,10,day0
