
"CDRDATE","CP_NAME","CPID","ACCESSFLAG","BASICCAUSE","INTERNALCAUSE","REVENUE","TOTAL"
"2023-11-12 14:47","Monty Mobile (bulk)","240","66","938","2001",0,3
"2023-11-12 14:47","BPJS","242","67","111","4012",0,6
"2023-11-12 14:47","BPJS","242","67","941","2001",1041,3
"2023-11-12 14:47","SahabatMudaKreatif","252","73","111","4012",0,1004
"2023-11-12 14:47","SahabatMudaKreatif","252","73","940","5031",0,1
"2023-11-12 14:47","SahabatMudaKreatif","252","73","941","2001",5946,3
"2023-11-12 14:47","8Elements","254","73","111","4012",0,498
"2023-11-12 14:47","8Elements","254","73","23",,5946,6
"2023-11-12 14:47","8Elements","254","73","6",,991,1
"2023-11-12 14:47","8Elements","254","73","941","2001",14865,15
"2023-11-12 14:47","PT. Aman Devloop Indonesia","257","73","111","4012",0,172
"2023-11-12 14:47","PT. Aman Devloop Indonesia","257","73","6",,991,1
"2023-11-12 14:47","PT. Aman Devloop Indonesia","257","73","991",,418202,422
"2023-11-12 14:47","Telesat_System_Integrator","261","73","111","4012",0,18
"2023-11-12 14:47","Telesat_System_Integrator","261","73","23",,991,1
"2023-11-12 14:47","KEE_Digital","2895","72","372","2001",0,1
"2023-11-12 14:47","KEE_Digital","2895","72","987","2001",0,1
"2023-11-12 14:47","18 Box Media","2915","72","372","2001",0,2
"2023-11-12 14:47","18 Box Media","2915","72","987","2001",0,2
"2023-11-12 14:47","Access Mobile","42","66","938","2001",0,2
"2023-11-12 14:47","Access Mobile","42","67","941","2001",0,3
